               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.037437,            0.025357,            0.016165,             0.70764,              0.7394,             0.79969,             0.44408,            0.044376,            0.038012,           0.0067227,            0.008317,            0.008317,            0.008317
                  53,            0.040711,             0.03012,            0.015377,             0.75275,             0.84681,             0.81268,             0.37665,            0.046791,            0.033255,           0.0061092,            0.008284,            0.008284,            0.008284
                  54,             0.03963,            0.029811,            0.014251,              0.7987,             0.78482,             0.85853,             0.40035,            0.040605,            0.032179,           0.0065608,            0.008251,            0.008251,            0.008251
                  55,            0.039758,            0.025698,            0.016555,             0.76854,             0.78159,             0.83721,             0.41839,            0.040918,            0.031452,           0.0076991,            0.008218,            0.008218,            0.008218
                  56,            0.037734,            0.030953,            0.013162,             0.79374,             0.70642,             0.84216,              0.4706,            0.042464,             0.03056,            0.007573,            0.008185,            0.008185,            0.008185
                  57,            0.037936,             0.02901,            0.014253,             0.61841,             0.81789,             0.83853,             0.42228,            0.044938,            0.038589,           0.0081088,            0.008152,            0.008152,            0.008152
                  58,            0.037607,            0.027543,            0.016893,              0.6789,             0.78376,             0.75301,              0.3705,            0.045908,            0.037301,           0.0067707,            0.008119,            0.008119,            0.008119
                  59,             0.04027,            0.028583,            0.015418,             0.77929,             0.68441,             0.84742,             0.43418,            0.044772,            0.031905,           0.0073895,            0.008086,            0.008086,            0.008086
                  60,            0.039157,            0.027225,            0.020553,              0.7107,             0.74219,             0.84011,             0.46252,            0.042895,            0.031711,           0.0072609,            0.008053,            0.008053,            0.008053
                  61,            0.037396,            0.029454,            0.014821,             0.63925,             0.82562,             0.85592,             0.51004,            0.040842,            0.031093,           0.0077057,             0.00802,             0.00802,             0.00802
                  62,             0.03561,            0.025262,            0.016143,             0.72619,             0.78557,             0.84224,             0.46168,            0.042188,             0.03292,           0.0067465,            0.007987,            0.007987,            0.007987
                  63,            0.040464,            0.030148,            0.012968,              0.7906,             0.74337,             0.81902,             0.44917,            0.044513,            0.031195,           0.0062716,            0.007954,            0.007954,            0.007954
                  64,            0.042156,            0.029324,            0.012259,             0.74655,             0.81385,             0.85066,             0.39309,            0.050021,            0.030935,           0.0062729,            0.007921,            0.007921,            0.007921
                  65,             0.03848,            0.025698,             0.01501,             0.69595,             0.79824,             0.86976,             0.49245,            0.041039,            0.032084,           0.0068212,            0.007888,            0.007888,            0.007888
                  66,            0.035286,            0.026096,            0.016186,             0.65368,             0.86443,             0.88227,             0.52231,            0.039771,            0.031244,           0.0070388,            0.007855,            0.007855,            0.007855
                  67,            0.035466,            0.028108,            0.015824,             0.76636,             0.82149,             0.85878,             0.47384,            0.043028,            0.035422,           0.0068829,            0.007822,            0.007822,            0.007822
                  68,             0.03649,            0.026382,            0.014305,             0.81115,             0.87627,             0.89351,             0.44633,            0.041475,            0.031562,           0.0062537,            0.007789,            0.007789,            0.007789
                  69,            0.035945,            0.027014,            0.015396,             0.64155,             0.82649,              0.8261,             0.44016,            0.040576,            0.031643,           0.0064882,            0.007756,            0.007756,            0.007756
                  70,            0.033758,            0.024972,            0.016232,             0.78897,             0.73921,             0.82971,             0.45858,            0.040198,            0.031967,           0.0067954,            0.007723,            0.007723,            0.007723
                  71,            0.035733,            0.028813,            0.014916,              0.7046,             0.86557,              0.8405,             0.45773,             0.04173,            0.032227,           0.0062181,             0.00769,             0.00769,             0.00769
                  72,            0.039136,            0.027819,            0.014011,             0.74959,             0.85244,             0.79951,             0.39148,            0.044062,            0.033621,            0.005318,            0.007657,            0.007657,            0.007657
                  73,            0.037714,              0.0293,            0.013823,             0.72386,              0.8481,             0.79487,             0.42036,            0.040584,            0.033861,           0.0052656,            0.007624,            0.007624,            0.007624
                  74,            0.034884,            0.028253,            0.012506,              0.7644,             0.80853,             0.78559,             0.41494,            0.041424,            0.032861,           0.0051618,            0.007591,            0.007591,            0.007591
                  75,            0.035574,            0.025917,            0.015044,             0.62525,             0.83049,             0.77386,               0.433,            0.041681,            0.030968,           0.0061896,            0.007558,            0.007558,            0.007558
                  76,            0.037038,            0.023893,            0.017706,             0.63421,             0.86964,             0.79815,             0.44062,             0.04104,            0.033488,            0.006508,            0.007525,            0.007525,            0.007525
                  77,            0.035463,            0.029607,            0.013781,             0.80804,             0.68703,             0.80052,             0.45497,            0.039832,            0.030683,           0.0064505,            0.007492,            0.007492,            0.007492
                  78,            0.035502,            0.027255,            0.012984,             0.58661,             0.87704,             0.85414,             0.52581,            0.039189,            0.030019,           0.0059224,            0.007459,            0.007459,            0.007459
                  79,            0.038049,             0.02775,            0.015146,             0.74772,             0.74889,             0.83265,              0.4447,            0.042506,            0.031082,           0.0052931,            0.007426,            0.007426,            0.007426
                  80,            0.040117,            0.022667,            0.016833,             0.66657,             0.77396,             0.83539,             0.46331,            0.042634,            0.036573,           0.0062267,            0.007393,            0.007393,            0.007393
                  81,            0.035567,            0.026344,            0.013976,             0.73859,             0.80838,              0.8715,              0.4829,            0.041361,             0.03534,           0.0054242,             0.00736,             0.00736,             0.00736
                  82,            0.036458,            0.029077,            0.013946,             0.68872,             0.79076,             0.87592,               0.434,            0.040053,             0.02905,           0.0062394,            0.007327,            0.007327,            0.007327
                  83,             0.03779,            0.028223,            0.014399,             0.75875,             0.68217,              0.8713,              0.3964,            0.042996,            0.030906,           0.0073779,            0.007294,            0.007294,            0.007294
